method,spearman_full,recall@5,precision@5,jaccard@5,regret_frac@5,recall@10,precision@10,jaccard@10,regret_frac@10,recall@20,precision@20,jaccard@20,regret_frac@20,speedup_vs_simulator,method_seconds,sim_seconds,score_std,score_range,distinct_scores
surrogate,0.260915,0.366667,0.6,0.233466,0.48746,0.45,0.55,0.302707,0.433212,0.49141,0.433333,0.368053,0.317318,2.65865,0.92414,1.80479,0.000793357,0.0054435,23.8333
tabular_gbt,0.0354767,0.1,0.366667,0.0601852,0.855104,0.183333,0.233333,0.103658,0.866711,0.235283,0.258333,0.367284,0.788596,35.3687,0.0534291,1.80479,0.049609,0.206136,7.33333
tabular_gbt_l1,,0,0.1,0,0.994337,0.05,0.166667,0.0263158,0.97915,0.165965,0.258333,0.374004,0.772355,733.126,0.00244572,1.80479,0,0,1
tabular_ridge,0.432428,0.2,0.666667,0.12037,0.70286,0.416667,0.616667,0.283177,0.545718,0.574933,0.508333,0.469011,0.34952,2499.78,0.000739183,1.80479,0.0231239,0.0888338,37.1667
topology_heuristic,0.56829,0.433333,0.766667,0.279762,0.424824,0.633333,0.75,0.486677,0.161343,0.70557,0.566667,0.467248,0.0932021,638.026,0.00288032,1.80479,1.44839,5.58231,41.3333
